class.en,label.en,label.fr,label.eo,description.en,description.fr,description.eo,foss
software license,CC0 1.0,CC0 1.0,CC0 1.0,the Creative Commons CC0 public-domain dedication,la dédicace au domaine public Creative Commons CC0,la Creative Commons CC0 dediĉo al publika havaĵo,true
software license,CC BY 4.0,CC BY 4.0,CC BY 4.0,the Creative Commons Attribution 4.0 license,la licence Creative Commons Attribution 4.0,la Creative Commons Attribution 4.0 permesilo,true
software license,CC BY-SA 4.0,CC BY-SA 4.0,CC BY-SA 4.0,the Creative Commons Attribution-ShareAlike 4.0 license,la licence Creative Commons Attribution - Partage dans les mêmes conditions 4.0,la Creative Commons Attribution-Samkondiĉe 4.0 permesilo,true
software license,The Unlicense,The Unlicense,The Unlicense,the public-domain-equivalent Unlicense,"l'Unlicense, équivalent du domaine public","la Unlicense, ekvivalento de publika havaĵo",true
software license,GNU LGPL-2.1,GNU LGPL-2.1,GNU LGPL-2.1,"the GNU Lesser General Public License version 2.1, a weak copyleft license for libraries","la GNU Lesser General Public License version 2.1, une licence copyleft faible pour les bibliothèques","la GNU Lesser General Public License versio 2.1, malforta kopilefta permesilo por bibliotekoj",true
software license,GNU FDL-1.3,GNU FDL-1.3,GNU FDL-1.3,"the GNU Free Documentation License version 1.3, a copyleft license for documentation","la GNU Free Documentation License version 1.3, une licence copyleft pour la documentation","la GNU Free Documentation License versio 1.3, kopilefta permesilo por dokumentaro",true
software license,BSD 2-Clause License,BSD 2-Clause License,BSD 2-Clause License,the permissive BSD license with 2 clauses (the Simplified BSD License),la licence BSD permissive à 2 clauses (licence BSD simplifiée),la permesema BSD-permesilo kun 2 kondiĉoj (la simpligita BSD-permesilo),true
software license,ISC License,ISC License,ISC License,the permissive ISC license (Internet Systems Consortium),la licence ISC permissive (Internet Systems Consortium),la permesema ISC-permesilo (Internet Systems Consortium),true
software license,zlib License,zlib License,zlib License,the permissive zlib license,la licence zlib permissive,la permesema zlib-permesilo,true
software license,Boost Software License 1.0,Boost Software License 1.0,Boost Software License 1.0,the permissive Boost Software License version 1.0,la licence Boost Software version 1.0 permissive,la permesema Boost Software-permesilo versio 1.0,true
software license,Artistic License 2.0,Artistic License 2.0,Artistic License 2.0,"the Artistic License version 2.0, a permissive license with optional copyleft","la licence Artistique version 2.0, une licence permissive à copyleft optionnel","la Arta Permesilo versio 2.0, permesema permesilo kun nedeviga kopilefto",true
software license,Eclipse Public License 2.0,Eclipse Public License 2.0,Eclipse Public License 2.0,"the Eclipse Public License version 2.0, a weak copyleft license","la licence publique Eclipse version 2.0, une licence copyleft faible","la Eclipse Public License versio 2.0, malforta kopilefta permesilo",true
software license,Common Development and Distribution License 1.0,Common Development and Distribution License 1.0,Common Development and Distribution License 1.0,"the Common Development and Distribution License version 1.0, a weak copyleft license","la Common Development and Distribution License version 1.0, une licence copyleft faible","la Common Development and Distribution License versio 1.0, malforta kopilefta permesilo",true
software license,Free Public License 1.0.0 (0BSD),Free Public License 1.0.0 (0BSD),Free Public License 1.0.0 (0BSD),"the Free Public License 1.0.0 (0BSD), a permissive license with no attribution required","la licence publique libre 1.0.0 (0BSD), une licence permissive sans attribution requise","la Libera Publika Permesilo 1.0.0 (0BSD), permesema permesilo sen deviga atribuo",true
software license,European Union Public License 1.2,European Union Public License 1.2,European Union Public License 1.2,"the European Union Public License version 1.2, a copyleft license","la licence publique de l'Union européenne version 1.2, une licence copyleft","la Eŭropa Unia Publika Permesilo versio 1.2, kopilefta permesilo",true
software license,Open Database License 1.0,Open Database License 1.0,Open Database License 1.0,"the Open Data Commons Open Database License version 1.0, for databases","la Open Data Commons Open Database License version 1.0, pour les bases de données","la Open Data Commons Open Database License versio 1.0, por datumbazoj",true
software license,Public domain,Public domain,Public domain,a work in the public domain (copyright expired or never applied),une œuvre du domaine public (droit d'auteur expiré ou jamais applicable),verko en publika havaĵo (aŭtorrajto eksvalidiĝis aŭ neniam aplikiĝis),true
software license,CC BY-ND 4.0,CC BY-ND 4.0,CC BY-ND 4.0,the Creative Commons Attribution-NoDerivatives 4.0 license,la licence Creative Commons Attribution - Pas de modification 4.0,la Creative Commons Attribution-Nederivaĵoj 4.0 permesilo,false
software license,CC BY-NC 4.0,CC BY-NC 4.0,CC BY-NC 4.0,the Creative Commons Attribution-NonCommercial 4.0 license,la licence Creative Commons Attribution - Pas d'utilisation commerciale 4.0,la Creative Commons Attribution-Nekomerce 4.0 permesilo,false
software license,CC BY-NC-SA 4.0,CC BY-NC-SA 4.0,CC BY-NC-SA 4.0,the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 license,la licence Creative Commons Attribution - Pas d'utilisation commerciale - Partage dans les mêmes conditions 4.0,la Creative Commons Attribution-Nekomerce-Samkondiĉe 4.0 permesilo,false
software license,CC BY-NC-ND 4.0,CC BY-NC-ND 4.0,CC BY-NC-ND 4.0,the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 license,la licence Creative Commons Attribution - Pas d'utilisation commerciale - Pas de modification 4.0,la Creative Commons Attribution-Nekomerce-Nederivaĵoj 4.0 permesilo,false
software license,CC BY 3.0,CC BY 3.0,CC BY 3.0,the Creative Commons Attribution 3.0 license,la licence Creative Commons Attribution 3.0,la Creative Commons Attribution 3.0 permesilo,true
software license,CC BY-SA 3.0,CC BY-SA 3.0,CC BY-SA 3.0,the Creative Commons Attribution-ShareAlike 3.0 license,la licence Creative Commons Attribution - Partage dans les mêmes conditions 3.0,la Creative Commons Attribution-Samkondiĉe 3.0 permesilo,true
software license,CC BY-NC 3.0,CC BY-NC 3.0,CC BY-NC 3.0,the Creative Commons Attribution-NonCommercial 3.0 license,la licence Creative Commons Attribution - Pas d'utilisation commerciale 3.0,la Creative Commons Attribution-Nekomerce 3.0 permesilo,false
software license,CC BY-NC-SA 3.0,CC BY-NC-SA 3.0,CC BY-NC-SA 3.0,the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 license,la licence Creative Commons Attribution - Pas d'utilisation commerciale - Partage dans les mêmes conditions 3.0,la Creative Commons Attribution-Nekomerce-Samkondiĉe 3.0 permesilo,false
software license,CC BY-ND 3.0,CC BY-ND 3.0,CC BY-ND 3.0,the Creative Commons Attribution-NoDerivatives 3.0 license,la licence Creative Commons Attribution - Pas de modification 3.0,la Creative Commons Attribution-Nederivaĵoj 3.0 permesilo,false
software license,CC BY-NC-ND 3.0,CC BY-NC-ND 3.0,CC BY-NC-ND 3.0,the Creative Commons Attribution-NonCommercial-NoDerivatives 3.0 license,la licence Creative Commons Attribution - Pas d'utilisation commerciale - Pas de modification 3.0,la Creative Commons Attribution-Nekomerce-Nederivaĵoj 3.0 permesilo,false
user interface,GUI (graphical user interface),GUI (interface graphique),GUI (grafika uzulinterfaco),"a graphical user interface: interaction through windows, icons and pointer","une interface graphique : interaction par fenêtres, icônes et pointeur","grafika uzulinterfaco: interago per fenestroj, ikonoj kaj montrilo",false
user interface,CLI (command-line interface),CLI (interface en ligne de commande),CLI (komandlinia interfaco),a command-line interface: interaction by typing commands,une interface en ligne de commande : interaction par saisie de commandes,komandlinia interfaco: interago per tajpitaj komandoj,false
user interface,TUI (text-based user interface),TUI (interface textuelle),TUI (teksta uzulinterfaco),a text-based user interface: full-screen text widgets in a terminal,une interface utilisateur textuelle : widgets texte plein écran dans un terminal,teksta uzulinterfaco: plenekranaj tekstaj fenestraĵoj en terminalo,false
